名称,编码,中国名称
Bosnia And Herzegovina Post,bosnia-and-herzegovina-post,波黑邮政,
Botswana Post,botswana-post,博茨瓦纳邮政,
Airfex,airfex,亚风快递,
Brunei Post,brunei-post,文莱邮政,
Bulgaria Post,bulgaria-post,保加利亚邮政,
DB Schenker,dbschenker,全球国际货运,
Burkina Faso Post,sonapost,布基纳法索邮政,
Burundi Post,burundi-post,布隆迪邮政,
SINOAIR,sinoair,中外运,
UK Mail,ukmail,UK Mail,
Cambodia Post,cambodia-post,柬埔寨邮政,
Cameroon Post,campost,喀麦隆邮政,
Italy SDA,italy-sda,意大利SDA,
Correios Cabo Verde,correios-cabo-verde,
T Cat,t-cat,黑貓宅急便,
Eshipping,yht,一海通,
Fastgo,fastgo,速派快递FastGo,
Colombia Post,colombia-post,哥伦比亚邮政,
Delcart,delcart-in,Delcart,
MyIB,myib,MyIB,
PCA,pca,PCA,
City-Link Express,citylinkexpress,City-Link(信递联）,
Fulfillmen,fulfillmen,Fulfillmen,
FTD Express,ftd,富腾达快递,
2GO,2go,2GO,
tuffnells,tuffnells,tuffnells,
Costa Rica Post,correos-de-costa-rica,哥斯达黎加邮政,
Shipgce Express,shipgce,飞洋快递,
freaky quick logistics,freakyquick,FQ狂派速递,
Croatia Post,hrvatska-posta,克罗地亚邮政,
Xend Express,xend,Xend,
Turtle express,turtle-express,海龟国际速递,
Cuba Post,cuba-post,古巴邮政,
Wise Express,wise-express,万色速递,
Sure56,sure56,速尔快递,
Cyprus Post,cyprus-post,塞浦路斯邮政,
AIR21,air21,AIR21,
GATI Courier,gaticn,GATI上海迦递,
CEVA Logistics,ceva-logistics,CEVA物流,
Cnpex,cnpex,中邮快递,
Denmark post,denmark-post,丹麦邮政,
Airspeed International Corporation,airspeed,Airspeed International Corporation,
DPEX China,szdpex,DPEX国际快递（中国）,
UBX Express,ubx-uk,UBX Express,
1hcang,1hcang,1号仓,
RAF Philippines,raf,RAF Philippines,
Shree Mahabali Express,shree-mahabali-express,Shree Mahabali Express,
Tea post,tea-post,亚欧快运TEA,
YDH,ydhex,YDH义达物流,
Tiki,tiki,Tiki,
Ecuador Post,correos-del-ecuador,厄瓜多尔邮政,
Sunyou,sunyou,顺友物流,
Quickway,quickway,瞬程物流,
Egypt Post,egypt-post,埃及邮政,
Wahana,wahana,Wahana,
El Salvador Post,el-salvador-post,萨尔瓦多邮政,
DHL Global Mail Asia,dhlecommerce-asia,DHL Global Mail Asia,
Giao Hàng Nhanh,ghn,Giao Hàng Nhanh,
Eritrea Post,eritrea-post,厄立特里亚邮政,
DHL Active Tracing,dhl-active,DHL Active Tracing,
Estonia Post,omniva,爱沙尼亚邮政,
Viettel Post,viettelpost,Viettel Post,
Ethiopia Post,ethiopia-post,埃塞俄比亚邮政,
TNT Reference,tnt-reference,TNT Reference,
Faroe Islands Post,faroe-islands-post,法罗群岛邮政,
Dotzot,dotzot,Dotzot,
YL express,yunlu,云路物流,
Fiji Post,fiji-post,斐济邮政,
Kangaroo Worldwide Express,kangaroo-my,Kangaroo Worldwide Express,
